,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
213,"Ost,Persoenliches Einkommen,990","597956224431""",2013,"1123,81935481143"
214,"Suedost,Persoenliches Einkommen,1022","17417273885""",2013,"1257,10034802975"
215,"Sued,Persoenliches Einkommen,1086","11466049852""",2013,"1286,44377414388"
216,"Suedwest,Persoenliches Einkommen,1084","33778742868""",2013,"1303,83611622658"
217,"West,Persoenliches Einkommen,1028","50127157781""",2013,"1142,61679421887"
218,"Alt-West,Persoenliches Einkommen,1060","35697905217""",2013,"1222,83736578639"
219,"Nordwest,Persoenliches Einkommen,1006","9258674381""",2013,"1319,64840442718"
220,"Nord,Persoenliches Einkommen,1201","27377553616""",2013,"1397,79938034385"
221,"Stadt Leipzig,Persoenliches Einkommen,1066","01430298254""",2013,"1254,31010000498"
222,"Zentrum,Haushaltseinkommen,1087","80187132455""",2013,"1216,52180029784"
223,"Zentrum-Ost,Haushaltseinkommen,1466","06678370279""",2013,"1825,95133532185"
224,"Zentrum-Suedost,Haushaltseinkommen,1202","33006688454""",2013,"1412,49467084589"
225,"Zentrum-Sued,Haushaltseinkommen,1544","51700734588""",2013,"2076,94442784967"
226,"Zentrum-West,Haushaltseinkommen,1530","99167808915""",2013,"2152,00746976083"
227,"Zentrum-Nordwest,Haushaltseinkommen,2131","48217842793""",2013,"2161,32254012688"
228,"Zentrum-Nord,Haushaltseinkommen,1471","54674208864""",2013,"1919,68101645621"
229,"Schoenefeld-Abtnaundorf,Haushaltseinkommen,1096","48429727869""",2013,"1464,78821075254"
230,"Schoenefeld-Ost,Haushaltseinkommen,1342","257274574""",2013,"1326,43145745597"
231,"Mockau-Sued,Haushaltseinkommen,1269","23100664899""",2013,"1444,90752618516"
232,"Mockau-Nord,Haushaltseinkommen,1236","96250899009""",2013,"1425,09257500757"
233,"Thekla,Haushaltseinkommen,1370","00408535438""",2013,"1886,96508254077"
234,"Plaussig-Portitz,Haushaltseinkommen,1900","90504995806""",2013,"2644,88320578223"
235,Neustadt-Neuschoenefeld,Haushaltseinkommen,2013,"1159,88087970223"
236,Volkmarsdorf,Haushaltseinkommen,2013,"1121,38585907255"
237,Anger-Crottendorf,Haushaltseinkommen,2013,"1235,12672932507"
238,Sellerhausen-Stuenz,Haushaltseinkommen,2013,"1494,83198637304"
239,Paunsdorf,Haushaltseinkommen,2013,"1339,13701032442"
240,Heiterblick,Haushaltseinkommen,2013,"2018,66918375491"
241,Moelkau,Haushaltseinkommen,2013,"1595,43761765613"
242,Engelsdorf,Haushaltseinkommen,2013,"1837,03628511558"
243,Baalsdorf,Haushaltseinkommen,2013,"2202,69063269559"
244,Althen-Kleinpoesna,Haushaltseinkommen,2013,"2100,1893439382"
245,Reudnitz-Thonberg,Haushaltseinkommen,2013,"1588,91695221351"
246,Stoetteritz,Haushaltseinkommen,2013,"1351,66730336069"
247,Probstheida,Haushaltseinkommen,2013,"2182,85682582371"
248,Meusdorf,Haushaltseinkommen,2013,"1386,93632496988"
249,Liebertwolkwitz,Haushaltseinkommen,2013,"1644,59464247359"
250,Holzhausen,Haushaltseinkommen,2013,"1478,2650851583"
251,Suedvorstadt,Haushaltseinkommen,2013,"1811,27514183881"
252,Connewitz,Haushaltseinkommen,2013,"1599,35107083485"
253,Marienbrunn,Haushaltseinkommen,2013,"1670,90505283543"
254,Loessnig,Haushaltseinkommen,2013,"1618,30957526657"
255,Doelitz-Doesen,Haushaltseinkommen,2013,"1808,01752345171"
256,Schleussig,Haushaltseinkommen,2013,"2278,17636879203"
257,Plagwitz,Haushaltseinkommen,2013,"1265,80801193247"
258,Kleinzschocher,Haushaltseinkommen,2013,"1328,76550730691"
259,Grosszschocher,Haushaltseinkommen,2013,"1692,18242556473"
260,Knautkleeberg-Knauthain,Haushaltseinkommen,2013,"1789,10799517994"
261,Hartmannsdorf-Knautnaundorf,Haushaltseinkommen,2013,"1788,2423559482"
262,Schoenau,Haushaltseinkommen,2013,"1724,62442304621"
263,Gruenau-Ost,Haushaltseinkommen,2013,"1255,80298127024"
264,Gruenau-Mitte,Haushaltseinkommen,2013,"1227,00172304344"
265,Gruenau-Siedlung,Haushaltseinkommen,2013,"1885,65542144757"
266,Lausen-Gruenau,Haushaltseinkommen,2013,"1586,60774355979"
267,Gruenau-Nord,Haushaltseinkommen,2013,"1171,81884983344"
268,Miltitz,Haushaltseinkommen,2013,"1673,08349676634"
269,Lindenau,Haushaltseinkommen,2013,"1192,11164616649"
270,Altlindenau,Haushaltseinkommen,2013,"1329,10373854041"
271,Neulindenau,Haushaltseinkommen,2013,"1095,64238370805"
272,Leutzsch,Haushaltseinkommen,2013,"1693,95891102654"
273,Boehlitz-Ehrenberg,Haushaltseinkommen,2013,"2004,92132477305"
274,Burghausen-Rueckmarsdorf,Haushaltseinkommen,2013,"2075,46937047654"
275,Moeckern,Haushaltseinkommen,2013,"1514,41963844588"
276,Wahren,Haushaltseinkommen,2013,"1589,18463081644"
277,Luetzschena-Stahmeln,Haushaltseinkommen,2013,"2300,53469607354"
278,Lindenthal,Haushaltseinkommen,2013,"2279,76758751623"
279,Gohlis-Sued,Haushaltseinkommen,2013,"1938,78357864103"
280,Gohlis-Mitte,Haushaltseinkommen,2013,"2113,41067083734"
281,Gohlis-Nord,Haushaltseinkommen,2013,"1524,52593180408"
282,Eutritzsch,Haushaltseinkommen,2013,"1469,84754599768"
283,Seehausen,Haushaltseinkommen,2013,"2022,45816736575"
284,Wiederitzsch,Haushaltseinkommen,2013,"2363,57243061747"
285,Mitte,Haushaltseinkommen,2013,"1597,05974062865"
286,Nordost,Haushaltseinkommen,2013,"1491,57963589401"
287,Ost,Haushaltseinkommen,2013,"1388,56683073784"
288,Suedost,Haushaltseinkommen,2013,"1497,28098069229"
289,Sued,Haushaltseinkommen,2013,"1612,32088559364"
290,Suedwest,Haushaltseinkommen,2013,"1520,31546550113"
291,West,Haushaltseinkommen,2013,"1334,99548165629"
292,Alt-West,Haushaltseinkommen,2013,"1497,36143568816"
293,Nordwest,Haushaltseinkommen,2013,"1695,47569330616"
294,Nord,Haushaltseinkommen,2013,"1810,25693217699"
295,Stadt Leipzig,Haushaltseinkommen,2013,"1549,23950166622"
296,Zentrum,Persoenliches Einkommen,2015,"1195,05979980502"
297,Zentrum-Ost,Persoenliches Einkommen,2015,"1558,46446293875"
298,Zentrum-Suedost,Persoenliches Einkommen,2015,"1179,72791979858"
299,Zentrum-Sued,Persoenliches Einkommen,2015,"1537,93512629354"
300,Zentrum-West,Persoenliches Einkommen,2015,"1583,09343883357"
301,Zentrum-Nordwest,Persoenliches Einkommen,2015,"1807,86573966689"
302,Zentrum-Nord,Persoenliches Einkommen,2015,"1557,63231593991"
303,Schoenefeld-Abtnaundorf,Persoenliches Einkommen,2015,"1204,97758710458"
304,Schoenefeld-Ost,Persoenliches Einkommen,2015,"1121,43398129717"
305,Mockau-Sued,Persoenliches Einkommen,2015,"1326,95009276871"
